idImage,labels
953619,1
953958,0
954184,1
954113,1
953980,1
954175,1
953349,1
953645,1
953897,1
953841,1
953417,1
953777,1
953756,1
954195,1
953903,1
954222,1
953889,1
953844,1
954104,1
954229,1
953550,1
953726,1
954228,0
953750,0
954181,1
954208,1
953810,1
954187,1
953621,1
953348,1
953283,1
953092,1
953751,1
954112,1
954117,1
954116,1
953821,1
954105,1
953019,0
953780,1
954186,1
954119,1
954063,1
954121,1
954066,1
954125,1
954067,1
953582,1
954013,1
954069,1
954071,1
954225,1
954124,1
954218,1
953577,1
953985,1
954141,1
954118,1
953901,1
953794,1
953853,1
953757,1
954130,1
953994,1
954180,1
954014,0
954092,1
954226,0
953946,1
953334,1
953126,1
953245,0
954122,1
954227,1
953097,1
953965,1
954002,1
953327,1
954052,1
954224,1
953863,1
953918,1
953933,1
953630,1
953004,0
953935,1
954219,1
953977,1
954048,1
954183,1
953715,0
953955,1
953785,1
954012,1
953856,0
954127,1
954206,1
954055,1
953981,0
954007,1
954216,1
953824,1
954176,1
953123,1
954133,0
953934,1
953560,1
953979,1
954179,1
954126,1
953802,1
954217,1
954131,1
953356,1
954169,1
954200,0
954220,1
954143,1
954123,1
953113,1
954223,1
954043,1
954022,1
953730,1
954212,1
953945,1
954096,0
954076,1
954178,1
954196,1
953961,1
954214,1
954203,1
954198,1
954011,1
953816,1
954191,1
954188,1
953923,1
953089,1
953401,1
771289,1
770869,1
770556,1
770300,1
771576,1
770637,1
771245,1
771518,1
771439,1
771182,1
771082,1
770779,1
771609,1
771252,1
771392,0
771538,1
771530,1
771628,1
771109,1
771346,1
771355,1
771541,1
771257,0
771637,1
770394,1
770632,1
771582,0
771269,1
770911,1
771351,1
771268,1
771596,1
771123,1
770826,1
771583,1
771189,0
770891,1
771084,1
771436,1
771430,1
771603,0
771522,1
771213,1
771648,0
770992,1
771647,0
770696,1
770993,1
771309,1
771520,0
770642,0
771571,1
771529,1
771185,1
770897,1
771047,0
770684,1
771443,0
770185,0
771459,1
771234,1
771046,1
770638,1
771452,1
770004,0
771483,1
771602,1
771404,0
771254,1
770916,1
771227,1
771466,1
771296,1
770927,1
771300,1
770486,1
771624,1
771533,1
771233,1
771652,1
771030,1
771229,1
770238,1
771203,1
769857,1
771342,1
771186,0
771438,1
771399,1
771027,1
769958,1
771308,0
771645,1
771451,1
770768,1
771131,0
771634,1
770926,1
771556,1
771425,0
769959,0
770809,1
771463,1
771184,0
771547,1
771524,1
771163,1
771408,1
770938,1
771572,1
771400,1
771585,1
770942,1
771650,1
770900,1
769987,1
771111,1
771039,1
771238,1
771447,1
770854,1
771347,1
771376,1
771401,1
770904,1
769730,0
771455,1
770560,1
771651,0
771107,1
771549,1
771149,1
771005,1
771474,0
771593,1
770608,0
771536,1
771172,1
771457,1
770989,1
771249,1
769801,0
771320,1
770568,1
770649,1
771605,1
771108,1
771397,1
771148,1
771601,0
770875,1
771653,1
771557,1
771429,0
771570,1
771294,1
770690,1
771500,1
770671,0
769736,1
771202,1
771632,1
771626,1
771584,1
771411,1
771516,1
770538,1
771122,1
771589,1
771545,0
771523,1
771508,0
771323,1
771502,1
771625,1
771616,1
770437,1
771627,1
771642,1
771497,1
930504,1
930322,1
930473,1
930811,1
930657,1
929988,0
930455,1
930060,1
930705,1
930493,1
930747,1
930073,1
930709,1
929897,1
930695,1
930465,1
930674,1
930324,0
930717,1
930165,1
930790,0
930425,0
930638,0
930194,1
930499,1
930694,0
930219,1
930293,1
929995,1
930734,1
930217,0
930299,1
930336,1
930436,0
930532,1
930095,1
930636,1
930494,0
930808,1
930225,1
930104,1
930254,1
930212,1
930596,1
930286,1
930767,1
930632,0
930759,1
929932,0
930639,1
929914,0
930390,1
930735,0
930476,1
930756,1
930021,1
